lemma,lemma_found,distance
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
беше,будаличиште,1.0195987224578857
сите,пати се,0.883429765701294
ce,царинарник,1.5274791717529297
